Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeAboveTerr,altitudeTuning,altitudeTuningSetpoint,xTrackError,rangeFinderDist,flightDistance,flightTime,distanceToHome,timeToHome,missionItemIndex,headingToNextWP,distanceToNextWP,headingToHome,distanceToGCS,throttlePct,imuTemp,hobbs,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentUTCTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,efi.health,efi.ecuIndex,efi.rpm,efi.fuelConsumed,efi.fuelFlow,efi.engineLoad,efi.sparkTime,efi.throttlePos,efi.baroPress,efi.intakePress,efi.intakeTemp,efi.cylinderTemp,efi.ignTime,efi.exGasTemp,efi.injTime,efi.throttleOut,efi.ptComp,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,generator.status,generator.genSpeed,generator.batteryCurrent,generator.loadCurrent,generator.powerGenerated,generator.busVoltage,generator.batCurrentSetpoint,generator.rectifierTemp,generator.genTemp,generator.runtime,generator.timeMaintenance,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2025-03-25 12:59:38.011,-0.2,-0.0,91,-0.0,0.0,-0.0,0.0,0.0,0.000,0.1,-0.0,0.5,-490.7,0.140,0.000,0.000,0.000,0.0,00:00:00,0.1,4.9,2,94,0,--.--,--.--,0,0,0002:33:41,0,1,1,16.20,-1.00,0,--.--,100,--.--,--:--:--,1,-16.20,12:59:38,16:59:38,3/25/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,151.000,151.000,152.000,150.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,true,true,true,false,false,0.04,0.03,0.01,0.05,--.--,--.--,0.29,0.27,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3979701,8.5461636,32TMT 65753 49490,0.7,1.1,139.9,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.1,-0.1,-0.1,-0.0,-0.0,-0.1,--.--,--.--,--.--,--.--,--.--,--.--,0.0,0.0,91.3,1.2,0.3,-0.0,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-25 12:59:39.011,-0.2,-0.1,91,-0.0,0.0,-0.0,0.0,0.0,0.000,0.1,0.0,0.5,-490.7,0.170,0.000,0.000,0.000,0.0,00:00:01,0.1,2.1,2,94,0,--.--,--.--,0,0,0002:33:41,0,1,1,16.17,-1.00,0,--.--,99,--.--,--:--:--,1,-16.17,12:59:39,16:59:39,3/25/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,160.000,153.000,161.000,151.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,true,true,true,false,false,0.03,0.03,0.03,0.08,--.--,--.--,0.29,0.27,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3979732,8.5461623,32TMT 65753 49490,0.7,1.1,105.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.2,-0.1,-0.1,-0.0,0.0,-0.1,-0.2,-0.1,-0.1,-0.0,-0.0,2.2,-0.0,0.4,91.2,1.0,3.0,0.0,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-25 12:59:40.011,-0.2,-0.1,91,-0.0,-0.0,-0.0,0.1,0.0,0.000,0.0,-0.0,0.5,-490.7,0.101,0.000,0.000,0.000,0.0,00:00:02,0.1,1.8,2,94,0,--.--,--.--,27,0,0002:33:41,0,1,1,16.17,-1.00,0,--.--,99,--.--,--:--:--,1,-16.17,12:59:40,16:59:40,3/25/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,389.000,383.000,410.000,362.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,true,true,true,false,false,0.03,0.03,0.03,0.08,--.--,--.--,0.29,0.27,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3979734,8.5461607,32TMT 65753 49490,0.7,1.1,271.2,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.1,-0.0,-0.0,0.0,0.0,-0.0,-0.2,-0.1,-0.0,-0.1,-0.0,0.4,1.1,0.8,91.3,8.7,5.9,-0.0,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-25 12:59:41.011,-0.2,-0.0,91,-0.0,0.0,-0.0,0.1,0.0,0.000,0.0,-0.1,0.4,-490.7,0.054,0.000,0.000,0.000,0.0,00:00:03,0.1,1.8,2,94,0,--.--,--.--,47,0,0002:33:41,0,1,1,16.11,-1.00,0,--.--,96,--.--,--:--:--,1,-16.11,12:59:41,16:59:41,3/25/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,539.000,568.000,609.000,498.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.04,0.02,0.06,--.--,--.--,0.29,0.27,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3979732,8.5461620,32TMT 65753 49490,0.7,1.1,200.1,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.0,-0.1,0.0,0.1,0.0,-0.0,-0.2,-0.1,0.0,-0.2,-0.0,-0.3,2.4,0.5,91.2,17.3,3.4,-0.0,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-25 12:59:42.012,0.1,-0.0,91,7.1,-0.1,-0.9,0.1,0.0,0.000,0.0,-0.1,0.4,-490.7,0.034,0.000,0.000,0.000,0.0,00:00:04,0.1,2.3,2,94,0,--.--,--.--,69,0,0002:33:41,0,1,1,16.11,-1.00,0,--.--,96,--.--,--:--:--,1,-16.11,12:59:42,16:59:42,3/25/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,709.000,771.000,817.000,663.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.04,0.02,0.06,--.--,--.--,0.29,0.27,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3979735,8.5461638,32TMT 65753 49490,0.7,1.1,42.1,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.0,-0.1,0.0,0.0,0.0,-0.0,-0.2,-0.1,0.0,-0.1,-0.0,-0.8,2.0,0.3,91.1,12.3,2.1,-0.0,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-25 12:59:43.011,-2.2,-0.2,92,-5.9,-2.5,-0.3,0.4,0.0,0.000,0.6,0.1,0.6,-490.7,0.246,0.000,0.000,0.000,0.0,00:00:05,0.2,0.6,2,94,0,--.--,--.--,76,0,0002:33:41,0,1,1,16.05,-1.00,0,--.--,93,--.--,--:--:--,1,-16.05,12:59:43,16:59:43,3/25/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,801.000,804.000,806.000,803.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.06,0.04,0.02,0.05,--.--,--.--,0.29,0.27,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3979690,8.5461614,32TMT 65753 49490,0.7,1.1,216.4,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.3,-0.1,-0.2,-0.3,-0.1,-0.7,-0.2,-0.1,-0.2,0.2,0.0,-1.3,-4.9,-1.3,92.1,-17.8,-6.9,-0.2,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-25 12:59:44.011,-2.2,-0.8,91,2.4,0.7,-0.2,0.1,0.0,0.000,1.1,1.1,1.6,-490.7,1.219,0.000,0.000,0.000,0.0,00:00:06,0.4,3.3,2,94,0,--.--,--.--,73,0,0002:33:41,0,1,1,16.05,-1.00,0,--.--,93,--.--,--:--:--,1,-16.05,12:59:44,16:59:44,3/25/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,778.000,778.000,778.000,777.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.06,0.04,0.02,0.05,--.--,--.--,0.29,0.27,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3979689,8.5461623,32TMT 65753 49490,0.7,1.1,359.6,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.5,-0.2,-1.2,0.1,0.0,-1.1,-0.2,-0.1,-1.2,0.3,0.1,-1.5,-2.4,-0.9,91.9,-1.3,-0.6,0.0,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-25 12:59:45.012,0.1,0.3,90,0.2,1.3,-0.1,0.2,0.0,0.000,1.3,2.3,2.8,-489.4,2.462,0.000,0.000,0.000,0.0,00:00:07,0.2,0.8,2,94,0,--.--,--.--,73,0,0002:33:41,0,1,1,15.99,-1.00,0,--.--,90,--.--,--:--:--,1,-15.99,12:59:45,16:59:45,3/25/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,776.000,777.000,775.000,777.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.03,0.02,0.09,--.--,--.--,0.29,0.27,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3979678,8.5461633,32TMT 65753 49490,0.7,1.1,34.8,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.3,-0.1,-2.4,0.2,0.1,-1.3,-0.2,-0.1,-2.4,0.1,0.0,-1.5,-0.0,0.4,90.5,-0.8,0.7,-0.0,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-25 12:59:46.012,0.6,0.2,90,0.2,-1.1,-0.0,0.1,0.0,0.000,1.4,3.6,4.1,-488.2,3.705,0.000,0.000,0.000,0.0,00:00:08,0.0,0.3,2,94,0,--.--,--.--,73,0,0002:33:41,0,1,1,15.99,-1.00,0,--.--,90,--.--,--:--:--,1,-15.99,12:59:46,16:59:46,3/25/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,777.000,775.000,774.000,774.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.03,0.02,0.09,--.--,--.--,0.29,0.27,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3979686,8.5461657,32TMT 65754 49490,0.7,1.1,52.7,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.2,-0.1,-3.6,0.1,-0.0,-1.4,-0.2,-0.1,-3.7,0.0,-0.0,-1.5,0.5,0.1,90.4,-0.4,-0.7,0.7,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-25 12:59:47.011,-0.2,0.2,90,-0.3,-0.2,1.0,0.0,0.0,0.000,1.4,4.9,5.4,-486.9,5.054,0.000,0.000,0.000,0.0,00:00:09,0.0,0.9,2,94,0,--.--,--.--,73,0,0002:33:41,0,1,1,15.93,-1.00,0,--.--,87,--.--,--:--:--,1,-15.93,12:59:47,16:59:47,3/25/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,773.000,773.000,773.000,773.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.04,0.01,0.03,0.07,--.--,--.--,0.29,0.27,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3979718,8.5461624,32TMT 65753 49490,0.7,1.1,234.9,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-0.2,-0.1,-5.0,0.0,-0.0,-1.4,-0.2,-0.1,-5.0,0.0,-0.1,-1.5,-0.2,0.1,90.4,0.3,-0.4,0.9,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
