Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeAboveTerr,altitudeTuning,altitudeTuningSetpoint,xTrackError,rangeFinderDist,flightDistance,flightTime,distanceToHome,timeToHome,missionItemIndex,headingToNextWP,distanceToNextWP,headingToHome,distanceToGCS,throttlePct,imuTemp,hobbs,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentUTCTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,efi.health,efi.ecuIndex,efi.rpm,efi.fuelConsumed,efi.fuelFlow,efi.engineLoad,efi.sparkTime,efi.throttlePos,efi.baroPress,efi.intakePress,efi.intakeTemp,efi.cylinderTemp,efi.ignTime,efi.exGasTemp,efi.injTime,efi.throttleOut,efi.ptComp,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,generator.status,generator.genSpeed,generator.batteryCurrent,generator.loadCurrent,generator.powerGenerated,generator.busVoltage,generator.batCurrentSetpoint,generator.rectifierTemp,generator.genTemp,generator.runtime,generator.timeMaintenance,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2025-03-24 11:32:31.262,0.2,-0.1,89,-0.0,-0.0,-0.0,0.0,0.0,0.000,-0.0,0.0,0.0,-490.8,-0.099,0.000,0.000,0.000,0.0,00:00:00,0.1,1.7,1,--.--,0,--.--,--.--,9,0,0001:20:59,0,1,1,16.20,-1.00,0,--.--,100,--.--,--:--:--,1,-16.20,11:32:31,15:32:31,3/24/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,152.000,150.000,151.000,150.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,true,true,true,false,false,0.03,0.04,0.02,0.13,--.--,--.--,0.29,0.28,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3979704,8.5461655,32TMT 65754 49490,0.7,1.1,93.9,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,-0.2,0.0,0.0,0.0,10.0,0.0,-2.0,9.3,-0.1,1.3,-0.1,-12.0,0.0,-75.4,-24.1,-200.0,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-24 11:32:32.263,0.1,-0.1,88,-0.0,0.0,-11.5,0.0,0.0,0.000,-0.0,0.0,0.0,-490.8,-0.102,0.000,0.000,0.000,0.0,00:00:00,0.1,2.2,1,--.--,0,--.--,--.--,44,0,0001:20:59,0,1,1,16.15,-1.00,0,--.--,99,--.--,--:--:--,1,-16.15,11:32:32,15:32:32,3/24/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,230.000,150.000,262.000,494.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,true,true,true,false,false,0.07,0.02,0.02,0.06,--.--,--.--,0.29,0.28,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3979709,8.5461667,32TMT 65754 49490,0.7,1.1,173.8,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.2,0.1,-0.2,-0.0,0.1,0.0,10.0,0.0,-2.0,9.3,-0.1,-0.4,-0.3,-12.0,360.0,-74.8,-24.2,-200.0,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-24 11:32:33.263,-14.7,-15.1,35,13.3,17.6,-118.3,1.4,0.0,0.000,0.2,-0.0,0.0,-490.8,0.017,0.000,0.000,0.000,0.0,00:00:01,0.5,0.1,1,--.--,0,--.--,--.--,90,0,0001:20:59,0,1,1,16.15,-1.00,0,--.--,99,--.--,--:--:--,1,-16.15,11:32:33,15:32:33,3/24/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,311.000,188.000,527.000,1000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,true,true,true,false,false,0.07,0.02,0.02,0.06,--.--,--.--,0.29,0.28,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3979735,8.5461628,32TMT 65753 49490,0.7,1.1,359.6,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,0.7,0.2,-0.4,2.1,-0.1,-0.4,10.0,0.0,-2.0,8.8,-0.1,-1.6,0.3,-12.0,0.0,47.9,39.5,-97.1,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-24 11:32:34.256,3.0,1.1,357,-6.3,38.2,30.7,4.2,0.0,0.000,0.6,0.2,0.3,-490.8,0.719,0.000,0.000,0.000,4.1,00:00:02,4.3,0.8,1,--.--,0,176,--.--,68,0,0001:20:59,0,1,1,16.09,-1.00,0,--.--,95,--.--,--:--:--,1,-16.09,11:32:34,15:32:34,3/24/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,891.000,893.000,781.000,795.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.17,0.02,0.03,0.10,--.--,--.--,0.29,0.27,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3980037,8.5461633,32TMT 65753 49494,0.7,1.1,357.8,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,4.5,-0.2,-1.1,4.2,-0.2,-0.5,10.0,0.0,-2.0,5.3,0.2,-0.9,4.9,7.4,360.0,11.2,37.6,5.8,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-24 11:32:35.265,-28.5,0.3,349,-19.8,-42.1,-5.2,3.5,0.0,0.000,2.5,0.9,1.0,-490.7,1.747,0.000,0.000,0.000,6.1,00:00:03,7.7,2.1,1,--.--,0,172,--.--,87,0,0001:20:59,0,1,1,16.09,-1.00,0,--.--,95,--.--,--:--:--,1,-16.09,11:32:35,15:32:35,3/24/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,722.000,748.000,769.000,782.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.17,0.02,0.03,0.10,--.--,--.--,0.29,0.27,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3980349,8.5461551,32TMT 65753 49497,0.7,1.1,327.1,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,7.8,-1.0,-2.6,2.5,-2.8,-2.8,37.8,-122.4,-50.0,2.9,-11.7,-3.0,-30.0,3.2,360.0,-8.4,-14.0,28.9,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-24 11:32:36.258,-27.3,9.0,4,35.1,-24.6,-17.4,8.5,0.0,0.000,2.9,2.6,2.6,-488.4,4.790,0.000,0.000,0.000,14.6,00:00:04,12.6,1.4,1,--.--,0,144,--.--,77,0,0001:20:59,0,1,1,16.03,-1.00,0,--.--,92,--.--,--:--:--,1,-16.03,11:32:36,15:32:36,3/24/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,938.000,922.000,746.000,729.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.14,0.06,0.03,0.11,--.--,--.--,0.29,0.28,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3980598,8.5460862,32TMT 65748 49500,0.7,1.1,284.7,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,10.4,-7.3,-5.6,2.0,-8.9,-2.9,37.8,-122.4,-50.0,2.8,-11.7,-3.0,-24.2,3.1,360.0,24.5,-23.7,-19.1,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-24 11:32:37.258,-4.1,-0.4,0,58.1,7.5,2.0,10.9,0.0,0.000,2.6,5.6,5.6,-485.4,7.669,0.000,0.000,0.000,23.0,00:00:05,21.0,1.8,1,--.--,0,124,--.--,12,0,0001:20:59,0,1,1,16.03,-1.00,0,--.--,92,--.--,--:--:--,1,-16.03,11:32:37,15:32:37,3/24/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,806.000,785.000,772.000,802.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.14,0.06,0.03,0.11,--.--,--.--,0.29,0.28,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3980746,8.5459665,32TMT 65739 49502,0.7,1.1,279.6,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,12.0,-17.5,-8.3,1.7,-10.8,-1.3,--.--,--.--,--.--,--.--,--.--,0.7,0.0,0.0,0.2,29.9,3.2,0.0,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-24 11:32:38.256,-0.0,-0.1,2,-0.3,0.2,2.1,9.8,0.0,0.000,-1.0,8.2,8.2,-480.8,7.532,0.000,0.000,0.000,33.5,00:00:06,30.3,3.0,1,--.--,0,116,--.--,72,0,0001:20:59,0,1,1,15.97,-1.00,0,--.--,89,--.--,--:--:--,1,-15.97,11:32:38,15:32:38,3/24/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,439.000,368.000,335.000,449.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.11,0.03,0.03,0.09,--.--,--.--,0.29,0.28,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3980908,8.5458327,32TMT 65728 49504,0.7,1.1,280.6,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,13.7,-27.0,-7.8,1.6,-9.5,1.0,--.--,--.--,--.--,--.--,--.--,0.7,0.0,0.0,2.1,0.2,0.6,-0.0,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-24 11:32:39.266,-0.1,-0.1,3,-0.3,0.1,1.4,8.6,0.0,0.000,-0.9,7.4,7.5,-481.5,6.670,0.000,0.000,0.000,41.8,00:00:07,38.7,4.4,1,--.--,0,113,--.--,73,0,0001:20:59,0,1,1,15.97,-1.00,0,--.--,89,--.--,--:--:--,1,-15.97,11:32:39,15:32:39,3/24/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,777.000,758.000,745.000,782.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.11,0.03,0.03,0.09,--.--,--.--,0.29,0.28,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3981053,8.5457136,32TMT 65720 49505,0.7,1.1,280.6,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,15.3,-35.7,-6.9,1.5,-8.3,0.9,--.--,--.--,--.--,--.--,--.--,0.7,0.0,0.0,3.7,0.9,0.5,-0.0,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2025-03-24 11:32:40.255,-0.1,-0.1,4,0.2,0.1,0.9,7.5,0.0,0.000,-0.8,6.5,6.6,-482.4,5.808,0.000,0.000,0.000,50.2,00:00:08,46.1,6.0,1,--.--,0,111,--.--,72,0,0001:20:59,0,1,1,15.91,-1.00,0,--.--,86,--.--,--:--:--,1,-15.91,11:32:40,15:32:40,3/24/25,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,782.000,765.000,754.000,787.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,true,true,true,true,true,true,false,false,true,true,false,false,0.14,0.04,0.01,0.09,--.--,--.--,0.29,0.28,0,0,--.--,--.--,--.--,--.--,--.--,0,0,0,0,47.3981159,8.5456141,32TMT 65712 49506,0.7,1.1,280.1,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,16.7,-43.1,-6.0,1.4,-7.3,0.8,--.--,--.--,--.--,--.--,--.--,0.7,0.0,0.0,4.9,1.0,0.3,-0.1,550.67,--.--,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
